#time	sec	step	log_time	priority	tag	pid	log
22558	1	15	2022-01-13 12:23:14.458000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
22861	1	16	2022-01-13 12:23:14.761000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
22912	2	16	2022-01-13 12:23:14.812000	I	auditd	11668	type=1400 audit(0.0:3479): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
23735	1	17	2022-01-13 12:23:15.635000	I	sysui_multi_action	1118	[757,1093,758,4,793,5006,1094,738721792,1095,4]
23861	1	17	2022-01-13 12:23:15.761000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
23904	1	17	2022-01-13 12:23:15.804000	I	auditd	11717	type=1400 audit(0.0:3481): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
24832	1	18	2022-01-13 12:23:16.732000	I	auditd	11790	type=1400 audit(0.0:3483): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
24981	1	18	2022-01-13 12:23:16.881000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
25752	1	19	2022-01-13 12:23:17.652000	I	sysui_multi_action	1118	[757,1093,758,4,793,2017,1094,738721792,1095,4]
26556	1	19	2022-01-13 12:23:18.456000	I	auditd	11878	type=1400 audit(0.0:3485): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
27584	1	20	2022-01-13 12:23:19.484000	I	auditd	12058	type=1400 audit(0.0:3487): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
27826	1	20	2022-01-13 12:23:19.726000	I	sqlite_mem_released	25866	0
27827	2	20	2022-01-13 12:23:19.727000	I	force_gc	25866	mem
27851	3	20	2022-01-13 12:23:19.751000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
27879	1	21	2022-01-13 12:23:19.779000	I	chatty	977	uid=1000 system_server identical 1 line
27989	2	21	2022-01-13 12:23:19.889000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
28600	3	21	2022-01-13 12:23:20.500000	I	auditd	12190	type=1400 audit(0.0:3489): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
29668	1	22	2022-01-13 12:23:21.568000	I	auditd	12283	type=1400 audit(0.0:3491): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
30178	1	22	2022-01-13 12:23:22.078000	I	am_pss	977	[1781,10028,com.android.launcher3,136011776,107196416,25021440]
30267	1	22	2022-01-13 12:23:22.167000	I	am_pss	977	[9523,10036,com.google.android.googlequicksearchbox:search,164154368,147861504,139264]
30856	1	23	2022-01-13 12:23:22.756000	I	auditd	12357	type=1400 audit(0.0:3493): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
31004	1	23	2022-01-13 12:23:22.904000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
