#time	step	pss	shared_dirty	private_dirty	heap_size	heap_alloc	heap_free	native_pss	native_shared_dirty	native_private_dirty	native_heap_size	native_heap_alloc	native_heap_free	dalvik_pss	dalvik_shared_dirty	dalvik_private_dirty	dalvik_heap_size	dalvik_heap_alloc	dalvik_heap_free
205028	149	75950		51223	21031	14543	6487	9583		9548	16384	12219	4164	4132		3900	4647	2324	2323
206041	150	75196		50474	21031	14545	6485	9587		9552	16384	12221	4162	4144		3912	4647	2324	2323
207044	150	76323		51219	21031	14550	6480	9579		9544	16384	12226	4157	4132		3900	4647	2324	2323
208052	151	74429		49701	21031	14532	6499	9591		9556	16384	12208	4176	4132		3900	4647	2324	2323
209058	152	75215		50482	20999	14529	6469	9583		9548	16384	12221	4162	4156		3924	4615	2308	2307
210073	153	75428		50414	20999	14520	6478	9587		9552	16384	12212	4171	4084		3852	4615	2308	2307
211088	153	75503		50406	20998	14506	6491	9567		9532	16384	12199	4184	4096		3864	4614	2307	2307
212089	154	75856		51159	20998	14493	6504	9579		9544	16384	12186	4197	4072		3840	4614	2307	2307
213102	155	75371		50454	21035	14544	6490	9595		9560	16384	12218	4165	4116		3884	4651	2326	2325
214115	155	75668		50462	21037	14550	6486	9591		9556	16384	12223	4160	4128		3896	4653	2327	2326
215127	156	75961		51239	21102	14592	6509	9591		9556	16384	12233	4150	4140		3908	4718	2359	2359
216129	157	75450		50454	21031	14538	6492	9579		9544	16384	12214	4169	4132		3900	4647	2324	2323
217135	157	75145		50490	21031	14540	6490	9583		9548	16384	12216	4167	4164		3932	4647	2324	2323
218138	158	74745		50458	21031	14549	6481	9575		9540	16384	12225	4158	4140		3908	4647	2324	2323
219153	159	74758		50486	21031	14555	6475	9595		9560	16384	12231	4152	4148		3916	4647	2324	2323
220153	160	75810		51235	21031	14529	6501	9579		9544	16384	12205	4178	4148		3916	4647	2324	2323
221166	160	74366		49721	21031	14537	6493	9583		9548	16384	12213	4170	4160		3928	4647	2324	2323
222178	161	74734		50426	20998	14497	6500	9591		9556	16384	12190	4193	4092		3860	4614	2307	2307
223192	162	72953		49661	20999	14533	6465	9591		9556	16384	12225	4158	4092		3860	4615	2308	2307
224207	163	73675		50426	20998	14521	6476	9591		9556	16384	12214	4169	4092		3860	4614	2307	2307
225223	164	73242		49673	21031	14515	6515	9591		9556	16384	12191	4192	4104		3872	4647	2324	2323
