#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
451048	349	Explicit concurrent copying	413	2048	4096	 49	0.055	57.482
452674	349	Explicit concurrent copying	353	2048	4096	 49	0.147	39.026
454582	351	Explicit concurrent copying	370	2048	4096	 49	0.07	35.981
456692	352	Explicit concurrent copying	432	2048	4096	 49	0.062	42.097
458777	354	Explicit concurrent copying	400	2048	4096	 49	0.074	55.920
460447	356	Explicit concurrent copying	400	2048	4096	 49	0.059	41.178
462508	358	Explicit concurrent copying	415	2048	4096	 49	0.13	40.271
464407	359	Explicit concurrent copying	368	2048	4096	 49	0.16	43.860
466375	361	Explicit concurrent copying	303	2048	4096	 49	0.057	36.410
468262	363	Explicit concurrent copying	319	2048	4096	 49	0.054	35.397
470451	365	Explicit concurrent copying	336	2048	4096	 50	0.063	42.158
472829	367	Explicit concurrent copying	336	2048	4096	 49	0.153	72.382
474759	368	Explicit concurrent copying	365	2048	4096	 49	0.07	66.347
476455	370	Explicit concurrent copying	399	2048	4096	 49	0.076	71.762
478480	372	Explicit concurrent copying	385	2048	4096	 49	0.061	61.198
480465	373	Explicit concurrent copying	402	2048	4096	 50	0.077	60.068
482182	375	Explicit concurrent copying	400	2048	4096	 49	0.197	54.099
484232	376	Explicit concurrent copying	400	2048	4096	 49	0.076	97.596
485984	378	Explicit concurrent copying	384	2048	4096	 49	0.066	37.002
488255	379	Explicit concurrent copying	431	2048	4096	 49	0.089	65.387
490098	381	Explicit concurrent copying	384	2048	4096	 50	2.006	78.510
492112	383	Explicit concurrent copying	336	2048	4096	 49	0.058	57.228
493756	385	Explicit concurrent copying	304	2048	4096	 49	0.062	68.791
495800	386	Explicit concurrent copying	320	2048	4096	 49	0.061	44.251
497975	388	Explicit concurrent copying	335	2048	4096	 50	0.08	42.557
500026	390	Explicit concurrent copying	396	2048	4096	 49	0.072	41.209
502153	392	Explicit concurrent copying	415	2048	4096	 50	0.255	75.561
504078	394	Explicit concurrent copying	386	2048	4096	 49	0.198	43.473
506098	396	Explicit concurrent copying	401	2048	4096	 49	0.066	49.506
507947	398	Explicit concurrent copying	400	2048	4096	 49	0.26	62.250
509916	399	Explicit concurrent copying	399	2048	4096	 50	0.074	42.382
511923	401	Explicit concurrent copying	400	2048	4096	 49	0.07	41.063
514070	403	Explicit concurrent copying	415	2048	4096	 49	0.08	62.501
515789	405	Explicit concurrent copying	384	2048	4096	 49	0.062	37.909
518047	407	Explicit concurrent copying	320	2048	4096	 49	0.058	45.038
519985	409	Explicit concurrent copying	319	2048	4096	 49	0.087	41.577
521943	411	Explicit concurrent copying	336	2048	4096	 50	0.162	38.430
524442	413	Explicit concurrent copying	350	2048	4096	 49	0.188	45.112
526586	415	Explicit concurrent copying	413	2048	4096	 50	0.176	55.003
528795	417	Explicit concurrent copying	384	2048	4096	 50	0.071	52.068
530611	419	Explicit concurrent copying	387	2048	4096	 49	0.172	46.231
532741	420	Explicit concurrent copying	416	2048	4096	 49	0.111	53.036
534555	422	Explicit concurrent copying	367	2048	4096	 49	0.152	40.976
536324	424	Explicit concurrent copying	400	2048	4096	 49	0.054	38.372
538484	426	Explicit concurrent copying	400	2048	4096	 50	0.092	43.300
540629	427	Explicit concurrent copying	399	2048	4096	 49	0.054	34.510
542678	428	Explicit concurrent copying	368	2048	4096	 49	0.089	43.295
544707	428	Explicit concurrent copying	320	2048	4096	 49	0.069	47.849
549544	430	Explicit concurrent copying	320	2048	4096	 49	0.059	60.119
553967	432	Explicit concurrent copying	351	2048	4096	 49	0.059	120.237
556450	433	Explicit concurrent copying	320	2048	4096	 49	0.063	76.501
558848	434	Explicit concurrent copying	303	2048	4096	 50	0.2	113.481
560841	436	Explicit concurrent copying	304	2048	4096	 49	0.062	58.237
562814	438	Explicit concurrent copying	304	2048	4096	 49	0.068	94.267
564695	439	Explicit concurrent copying	382	2048	4096	 49	0.089	103.408
567028	442	Explicit concurrent copying	417	2048	4096	 50	1.109	104.577
569088	444	Explicit concurrent copying	335	2048	4096	 49	0.054	47.034
571246	446	Explicit concurrent copying	415	2048	4096	 49	0.219	62.428
573018	447	Explicit concurrent copying	384	2048	4096	 49	0.225	50.038
575177	450	Explicit concurrent copying	302	2048	4096	 49	0.112	59.341
575679	450	Explicit concurrent copying	300	2048	4096	 49	0.091	49.529
576197	451	Explicit concurrent copying	209	2048	4096	 49	0.062	34.427
576526	451	Explicit concurrent copying	161	2048	4096	 49	0.076	32.878
576870	451	Explicit concurrent copying	144	2048	4096	 50	0.107	32.897
577591	452	Explicit concurrent copying	160	2048	4096	 49	0.082	40.894
578470	453	Explicit concurrent copying	144	2048	4096	 49	0.067	32.137
578736	453	Explicit concurrent copying	144	2048	4096	 49	0.077	35.303
578977	453	Explicit concurrent copying	175	2048	4096	 50	0.059	40.366
579414	454	Explicit concurrent copying	160	2048	4096	 49	0.08	30.687
579977	454	Explicit concurrent copying	144	2048	4096	 49	0.065	33.550
580277	455	Explicit concurrent copying	175	2048	4096	 50	0.07	45.910
580919	455	Explicit concurrent copying	144	2048	4096	 49	0.06	29.487
581179	455	Explicit concurrent copying	144	2048	4096	 49	0.055	27.592
581470	456	Explicit concurrent copying	160	2048	4096	 49	0.079	43.015
581783	456	Explicit concurrent copying	159	2048	4096	 50	0.086	28.838
582770	457	Explicit concurrent copying	144	2048	4096	 49	0.075	30.776
583145	457	Explicit concurrent copying	143	2048	4096	 49	0.055	29.891
583662	458	Explicit concurrent copying	159	2048	4096	 50	0.063	29.257
583975	458	Explicit concurrent copying	144	2048	4096	 49	0.055	31.327
584711	459	Explicit concurrent copying	160	2048	4096	 49	0.14	49.896
585584	460	Explicit concurrent copying	144	2048	4096	 49	0.106	36.724
585879	460	Explicit concurrent copying	159	2048	4096	 50	0.064	36.366
587891	462	Explicit concurrent copying	144	2048	4096	 49	0.062	55.635
596059	470	Explicit concurrent copying	143	2048	4096	 49	0.067	48.534
596780	471	Explicit concurrent copying	144	2048	4096	 49	0.071	60.726
597058	471	Explicit concurrent copying	144	2048	4096	 49	0.063	30.966
597369	471	Explicit concurrent copying	159	2048	4096	 50	0.113	64.507
597982	472	Explicit concurrent copying	144	2048	4096	 49	0.078	28.914
598187	472	Explicit concurrent copying	144	2048	4096	 49	0.073	37.384
598481	472	Explicit concurrent copying	175	2048	4096	 50	0.07	32.026
599109	473	Explicit concurrent copying	144	2048	4096	 49	0.071	35.243
599374	473	Explicit concurrent copying	160	2048	4096	 49	0.056	28.491
599655	473	Explicit concurrent copying	144	2048	4096	 49	0.078	56.297
600001	473	Explicit concurrent copying	175	2048	4096	 50	0.079	43.517
600532	474	Explicit concurrent copying	176	2048	4096	 49	0.078	29.527
600751	474	Explicit concurrent copying	144	2048	4096	 49	0.054	27.798
601282	475	Explicit concurrent copying	159	2048	4096	 49	0.071	35.925
602282	476	Explicit concurrent copying	160	2048	4096	 49	0.068	34.286
602641	476	Explicit concurrent copying	144	2048	4096	 49	0.065	30.886
602799	476	Explicit concurrent copying	144	2048	4096	 49	0.119	56.554
603219	477	Explicit concurrent copying	159	2048	4096	 50	0.064	35.615
603860	477	Explicit concurrent copying	144	2048	4096	 49	0.116	54.782
604077	477	Explicit concurrent copying	144	2048	4096	 49	0.052	27.647
604628	478	Explicit concurrent copying	175	2048	4096	 50	0.107	34.865
606425	480	Explicit concurrent copying	144	2048	4096	 49	0.087	49.192
606990	480	Explicit concurrent copying	144	2048	4096	 49	0.093	34.377
608101	481	Explicit concurrent copying	144	2048	4096	 49	0.077	30.987
608554	482	Explicit concurrent copying	159	2048	4096	 50	0.092	42.890
609118	482	Explicit concurrent copying	144	2048	4096	 49	0.059	28.076
609336	483	Explicit concurrent copying	144	2048	4096	 49	0.054	27.103
609524	483	Explicit concurrent copying	159	2048	4096	 50	0.1	52.794
610022	483	Explicit concurrent copying	144	2048	4096	 49	0.062	27.865
610536	484	Explicit concurrent copying	144	2048	4096	 49	0.069	30.922
611005	484	Explicit concurrent copying	144	2048	4096	 49	0.062	28.415
611537	484	Explicit concurrent copying	159	2048	4096	 50	0.099	70.171
611976	485	Explicit concurrent copying	144	2048	4096	 49	0.059	29.132
612260	485	Explicit concurrent copying	144	2048	4096	 49	0.118	64.435
612511	486	Explicit concurrent copying	159	2048	4096	 50	0.106	57.457
